Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M15.63,TBD,22,"1768534, 1656297, 1675191, 2151739, 1651705, 1812557, 2383489, 1653115, 1772261, 1655557, 2383934, 1661537, 1668629, 1776515, 1760667, 1814156, 1710406, 1786612, 1651347, 1790472, 1763198, 1715069, 2365465, 1770892","BHLHB2, C21ORF57, C5ORF29, CAT, CAT, CDK5RAP3, CDK5RAP3, ECH1, GLG1, INTS6, ITGB1, LEPROT, LOC401115, MPPE1, POLR3GL, PSMB7, PSMC1, PSME2, SERTAD2, SLC25A28, STAT6, TANK, XBP1, YY1"
M15.64,Interferon,21,"1658995, 2367070, 1716421, 1697925, 2325337, 2325338, 1662578, 1678833, 1726591, 1678766, 2109708, 1708728, 1659913, 1656042, 1750321, 1783276, 1798233, 2373062, 1690920, 2390586, 1758418, 1697971, 1666376, 1654812","ACOT9, ACOT9, ADRA1D, APOB48R, APOL2, APOL2, C1GALT1, CCR1, COP1, DYNLT1, ECGF1, H2AFJ, ISG20, KIAA0319L, LBA1, NEXN, PSMB9, RHBDF2, SP100, SP100, TNFSF13B, TRIM38, TRIM56, UNC93B1"
M15.65,TBD,23,"1695414, 1666967, 1672717, 1702231, 2098325, 1741736, 2160929, 1762312, 1813475, 1712204, 1694539, 1689342, 1669607, 1786834, 1658526, 2397028, 2388701, 1685124, 1781623, 1810228, 1792173, 2087989, 1661293","ASF1B, BRP44L, C10ORF57, C1ORF54, C8ORF33, DDX28, FEN1, FOXRED1, HERC2, LOC645466, MAP3K6, NUBP1, PHKG2, PRKX, RYK, SERPINB8, ST3GAL5, TCTN1, TEX264, TTF2, TUBGCP4, ZFAND1, ZNF224"
M15.66,TBD,23,"1766054, 1812926, 1685170, 2408851, 2413508, 2349138, 1733998, 1691117, 1695706, 1664303, 1749244, 1724753, 1793934, 1799614, 2148668, 1802380, 1730628, 1767470, 1691892, 1714108, 1691188, 1714527, 1791388","ABCA1, ANTXR2, ANXA11, ARHGAP30, CD97, CDC42SE1, DHRS9, DNTTIP1, H3F3B, HTATIP2, LYRM1, NIN, PISD, PNPLA6, RCBTB2, RERE, RNASE2, SCPEP1, TAGLN2, TP53INP1, UIMC1, VAMP3, ZNF787"
M15.67,TBD,22,"1658883, 1725427, 2148459, 1757914, 1707503, 1658420, 1728517, 1656902, 1651315, 1816342, 1862524, 1742379, 2412521, 1679617, 2090949, 1701413, 2298365, 1773395, 1729801, 1788095, 1682864, 1789614, 2312149","ARAF, B2M, B2M, C19ORF56, C1ORF144, DSCAM, FNTB, HECTD3, HMG20B, HS.534061, HS.539765, IFT122, KIAA0101, LOC654155, NAG18, PIGQ, PPP2R2B, RDH5, S100A8, SPRYD3, SPSB3, TPT1, ZNF160"
M15.68,TBD,23,"2153787, 1655983, 1683538, 1739532, 2144162, 1824666, 1839248, 1860003, 1834842, 1866216, 1856315, 1854765, 1870646, 1897187, 1910550, 1660568, 1675258, 1733412, 1810045, 2094416, 1670666, 1772156, 1692826","ARRDC5, CDC14A, CSDE1, DPRXP4, FLJ25006, HS.157344, HS.317399, HS.347034, HS.443602, HS.444999, HS.473191, HS.481659, HS.538918, HS.574731, HS.582113, LOC401622, LOC441268, MGC5457, NLRP1, PLGLB1, RAB12, TXNDC4, UNKL"
M15.69,TBD,22,"1770803, 1684385, 1796537, 1675982, 1725620, 1711792, 2378048, 1862217, 1859863, 2091347, 2117171, 1771651, 1720303, 1741440, 1752520, 1803279, 1724333, 2307455, 1715188, 1678268, 1697906, 2376833","BNIP2, COPB2, FYB, GGA3, GGNBP2, GPBP1, HNRPK, HS.532698, HS.555181, IDH1, LMO4, MON1B, OSTM1, SLC35A1, SLFN11, TMED5, TOR1B, UBE2A, USP8, VPS8, WBP4, ZNF200"
M15.70,TBD,22,"1707634, 1772796, 1658053, 2222991, 1661596, 1656293, 2374164, 1762861, 2342437, 1814737, 1708605, 1682935, 2229032, 1680626, 1696383, 1687941, 2222750, 1774823, 2143566, 1682054, 1673746, 1807514","C3ORF68, DYNLL2, DYNLRB1, ETF1, FLVCR1, GOSR2, HERPUD1, HLA-F, KLHL5, LNPEP, LOC652481, LYPLAL1, NME6, PDIA6, POP4, RNF4, RPL23AP7, RPL34, SLC39A6, SRI, TIMM23, ZNF394"
M15.71,TBD,22,"1670542, 1731609, 1719158, 1677200, 2167011, 1747281, 2096719, 1704313, 1656670, 1695588, 1809141, 1776047, 1757702, 1687359, 1811754, 2358842, 1751887, 1758104, 2142695, 1651278, 1787815, 2093231","AK2, CHMP6, CTBP1, CYFIP2, ECHDC1, EVI5L, GRK5, GSTCD, HLA-G, HNRPC, ING4, LOC646197, LOC647673, MRPS23, NDUFB10, PCBP4, PREP, PRPS2, RNF4, SNIP1, TRIB3, WBP1"
M15.72,TBD,22,"2051381, 1803779, 1759595, 1763036, 1657771, 1658902, 1726990, 2352216, 1789839, 1852384, 1854833, 1673649, 1760305, 2103591, 1815043, 1739810, 1652540, 2415926, 1679880, 1664440, 1780887, 1728626","ALDH16A1, AP2A2, C22ORF29, CLCN6, CRTC2, DEAF1, DOM3Z, FBXL6, GTF3C1, HS.27048, HS.485155, HYOU1, KIAA1545, MORC2, MRPS2, RAI1, RELL2, THOC3, THOC6, TP53BP1, USP21, WDR5"
M15.73,TBD,22,"1688755, 1801866, 1711078, 1752510, 1778064, 1766269, 1899903, 1820759, 1823809, 1767514, 1745599, 1756998, 1766176, 1703688, 1805064, 1727671, 1783771, 1671969, 1779410, 2268409, 2398865, 1795063","AAK1, BRWD1, CDC2L2, FAM13A1, FICD, HM13, HS.371060, HS.563486, HS.571887, LOC441155, LOC643977, LOC647691, RAP1A, RASA2, SCARNA9, SSH1, UBE2Z, UGP2, VAPA, VPS13B, VPS13C, ZADH2"
M15.74,Erythrocytes,21,"1703142, 2048607, 1773849, 1789405, 1728742, 1777233, 2355831, 1758333, 1803788, 1711611, 1801175, 1764383, 1787526, 2410516, 1690077, 1697529, 1810785, 1704446, 2367258, 1666306, 1792455, 1757644","ANKRD9, ATP6V0C, C22ORF25, C5ORF4, E2F2, FHL2, HMG2L1, LGALS3, LOC653907, MAP2K3, MARCH2, MCOLN1, MGC13057, PPM1A, PPM1A, RNF10, RNF11, SLC6A10P, SMOX, SRRD, TMEM158, UBE2H"
M15.75,TBD,20,"2306955, 1706598, 2398926, 1673185, 1696254, 1713688, 1785177, 1743145, 2189859, 1666545, 1877068, 1879480, 1664608, 1652434, 1775901, 1691143, 1691293, 1799642, 1813010, 1804571, 2104967","ACPL2, ACPL2, C17ORF58, CPSF2, CYB5D2, DHX32, DNAJC14, ERAP2, FLJ38482, GCNT1, HS.12489, HS.13291, INPP5A, MTHFD2L, PHF5A, RAB18, RNF185, TRIM24, VTA1, ZKSCAN4, ZNF443"
M15.76,TBD,21,"1699636, 2402766, 1690682, 1744822, 1795949, 1701173, 1732343, 1678235, 2315694, 1768510, 1670723, 1753805, 1773561, 2150284, 1760121, 1706817, 1692684, 1659782, 1801101, 1661636, 1666727","ACIN1, AFTPH, B3GALT4, BECN1, CORO7, KCNK6, KIAA0999, KIAA1267, LYK5, MAN2B2, MSL3L1, PRKD2, RAP2C, RNPC3, RRAGC, SERP1, SMARCD2, STK19, ZBTB48, ZMYM2, ZNF586"
M15.77,TBD,21,"1761334, 1771738, 1711102, 1805131, 2220403, 1721008, 1696510, 1683328, 1660439, 1761072, 1698402, 2352609, 2278819, 1715885, 2410864, 1696591, 2353327, 1717490, 1765725, 1799939, 1737254","ARID4B, ARL5A, B3GNT2, C17ORF90, C6ORF72, DUT, GPR89C, IHPK2, LOC651149, LOC653631, NFX1, OGG1, PDE7A, PTPN22, RAB28, RB1, RNF38, RPL6, SBDSP, TAF1L, USP1"
M15.78,TBD,20,"1794875, 1763837, 1794707, 1718982, 1773407, 1776788, 2323172, 2144573, 2144574, 1676665, 2151281, 1909770, 1652185, 1778111, 1737561, 1750429, 1781184, 1745262, 1696466, 1672589, 1720053","AGPAT9, ANPEP, ATHL1, BEST1, C16ORF72, C5ORF41, CSF3R, CTBS, CTBS, CUEDC1, GABARAPL1, HS.34558, IL4R, LOC441124, LOC88523, MKNK1, MYBPC3, REM2, ROPN1L, SEMA4B, ZFAND3"
M15.79,Mitochondrial Stress/Proteasome,19,"1678775, 1759792, 1663538, 1779530, 1738272, 1733305, 2285817, 1812776, 1788547, 1726554, 1761808, 1652357, 1762993, 1694147, 1761911, 1669832, 2314007, 1655924, 1766435, 1688515","CLEC2D, CLIP4, CLYBL, COG6, DHX36, EIF2A, FAM89A, FBXO28, GCLM, IREB2, MCFD2, PDHX, PIGV, PUS3, SCYL1BP1, TCF12, TCF12, TRNT1, WBP11, ZNF195"
M15.80,TBD,20,"1697546, 1749210, 1751898, 1716057, 2331062, 2392352, 1807152, 2110561, 1688479, 1662263, 2173919, 1726064, 2080611, 2044085, 1654893, 1692049, 1792435, 1779706, 1798163, 1796119","BRCC3, BUD13, C12ORF4, CAPN2, CBFA2T2, CTPS2, GOLGA1, IFNA8, LRRC42, MDP-1, MYO9A, PAK1IP1, PDSS1, RQCD1, SCAMP2, SLC7A6OS, STAG1, TP53BP2, UPF3B, ZUFSP"
M15.81,TBD,20,"1732176, 1741148, 1733861, 2157510, 1659189, 1815759, 2339377, 1782748, 1765801, 1727043, 1783843, 1757072, 1660341, 2350574, 2361807, 1766275, 1775327, 1677085, 1665384, 1703370","AGPAT2, ALDOA, ARHGEF11, BLOC1S1, C9ORF89, CTDP1, DNM2, FMNL1, GAA, GLT25D1, IIP45, LOC642489, LRPAP1, MYADM, OS9, PIK3CD, PKM2, RGS19, SH3BP5L, ZDHHC12"
M15.82,TBD,20,"1693145, 1653794, 1751851, 1730622, 1679809, 1695311, 1786823, 2086095, 1751726, 1815895, 2327860, 1723874, 1761314, 1759436, 1703433, 1701613, 2049642, 2200659, 1796407, 1685258","BUB3, C6ORF160, CECR1, EVL, GSTP1, HLA-DMA, ICAM2, ID2, LOC649049, LOC649143, MAL, MRPS6, NFS1, NOSIP, PLSCR3, RARRES3, RPA1, SNHG5, SS18L2, TMEM14B"
M15.83,TBD,20,"1726327, 1752758, 1673544, 1779751, 1692390, 1676191, 1724826, 1672042, 1776297, 1778876, 1715546, 1660359, 2391522, 2412564, 1651506, 1664216, 1813544, 2398235, 1754547, 1803824","AMY1B, BTN2A2, C1ORF83, C7ORF55, CCNT1, DARS2, DNM1L, DOLPP1, GOLGA4, KIAA0423, LOC441191, LOC654126, MRPL47, NCBP2, NCOA6IP, NKIRAS1, OXCT1, PIK3R1, R3HDM1, ZDHHC9"
M15.84,Cytokines/chemokines,20,"2365091, 1851599, 1818872, 1860008, 1896455, 1852022, 1743034, 1687960, 1674285, 1763823, 1652490, 1788002, 1711030, 1780546, 1685312, 1714650, 1801216, 1668865, 2204545, 1772387","FCAR, HS.130245, HS.163346, HS.559151, HS.572130, KIAA1881, KIF1B, LIMK2, LOC401233, LOC651612, MANSC1, MAPK14, OPLAH, OSM, PSG3, RASGRP4, S100P, SLC2A14, ST3GAL4, TLR2"
M15.85,TBD,20,"1691418, 1750596, 1764873, 1839481, 1826471, 1836958, 1874689, 1910330, 1724666, 1694327, 1786168, 1666332, 1910120, 1727558, 1755138, 2233878, 1716441, 1769259, 1771824, 1810127","CDRT4, CLUAP1, ELAVL1, HS.123119, HS.298873, HS.528873, HS.554507, HS.561493, INADL, LOC285176, LOC400464, LOC654000, LOC730092, MRPL27, NEK8, SERF1B, SNORD4A, TMEM16J, WBSCR18, ZNF789"
M15.86,Interferon,15,"2132599, 1799848, 1706502, 1709747, 2261600, 1671482, 1859584, 2289093, 1674891, 1725700, 1691156, 1686664, 1710844, 1721411, 2262044, 1787509, 2246882, 1703263, 1765332, 1769520","ANKRD22, ANKRD22, EIF2AK2, ENDOGL1, FCGR1B, GALM, HS.306876, KIAA1618, KIAA1618, MOV10, MT1A, MT2A, PARP10, PARP10, PARP10, PRIC285, SP140, SP140, TIMM10, UBE2L6"
M15.87,TBD,19,"1700923, 2341363, 1791332, 1748916, 2356311, 1764500, 1792837, 1758543, 1748018, 1736940, 1655311, 1857915, 1783681, 1773716, 1739274, 1651228, 2411723, 1657857, 1775703","ATG4C, ATP5A1, ATP5O, C18ORF55, C21ORF51, C3ORF10, CIAO1, CNIH, GORASP2, HPRT1, LOC145853, LOC401397, MRPL34, MRPL9, PDHB, RPS28, RPSA, TMEM14C, TRAPPC6A"
M15.88,TBD,19,"1651964, 1764945, 1765076, 2394381, 1748077, 1867588, 1839719, 1884723, 1689817, 1738095, 1666597, 2346573, 1740395, 2225318, 1798543, 2408102, 2376416, 1672295, 2352590","ABCC5, AP3D1, APPL2, CLN3, DDX59, HS.103173, HS.14555, HS.442696, LCOR, PER2, PI4KB, PSME3, RAVER1, SMS, STK17B, TFIP11, UBXD5, ZC3H12A, ZNF33A"
M15.89,TBD,19,"1710726, 1654322, 1786433, 1761486, 1726574, 2088437, 1664577, 1690911, 1688818, 1678300, 1756676, 1815134, 1675626, 1779264, 1699476, 2399893, 2070072, 1741997, 1805828","APOBEC3F, ATP1B3, BCCIP, C13ORF34, CACYBP, CX3CR1, DLD, LOC388272, LOC652864, MGC40489, PHF19, PI4K2B, PRPF38A, PSMG1, RPE, RPS24, RPS7, SNRPC, VRK1"
M15.90,TBD,16,"1787749, 1673757, 1805024, 1681283, 1810418, 1701753, 1676719, 1686388, 1659752, 1732278, 2226015, 1689257, 1778709, 1806294, 1687519, 1798612, 2323302, 1801984, 1669286","CASP8, CASP8, ERBB2IP, HIF1A, LBR, LOC644063, LOC644330, LOC644330, LOC730996, LOC730996, LRRK2, MAEA, PICALM, RPS6KA3, SNAP23, SNX20, SON, VHL, YWHAZ"
M15.91,TBD,17,"2401641, 1761764, 1759184, 1796180, 1812995, 2374036, 2378376, 1752478, 1663616, 1671142, 1754421, 1757956, 1786024, 2052863, 1756204, 1659857, 1678957, 1712556","ALDH3A2, ALKBH7, C19ORF48, CRY2, CTSL1, CTSL1, CYB561, DHRS3, DNAJC7, GPR68, NDUFAF1, PCGF1, POLR3H, RNF5P1, RPS6KA4, SNAP29, WDR55, ZW10"
M15.92,TBD,18,"1708502, 2334760, 1762466, 1657744, 1745119, 2149935, 2370772, 1747183, 1863185, 1729775, 1723156, 1741175, 1761175, 1664051, 2318643, 1763670, 1776325, 1662383","AFF4, ARMCX3, BBS4, C15ORF17, C7ORF11, CC2D1B, EIF4G1, GLT8D3, HS.7572, OPA1, PTPRA, RAB11FIP2, RPS6KB2, SEC22C, TGIF1, TM2D1, UBE2Q1, ZRANB2"
M15.93,TBD,18,"1673991, 2309245, 1667081, 1801403, 1753249, 1803348, 1741391, 1673820, 1900661, 1811104, 1727495, 1685854, 1768293, 1691112, 1735658, 2097793, 1743456, 1730824","ATIC, BIN1, CCND2, DCUN1D4, DDX10, EHBP1, GARNL1, HLTF, HS.145049, KTELC1, L3MBTL3, LOC492311, NUP155, PIGN, RTTN, ZBTB4, ZCCHC14, ZNF512"
M15.94,TBD,18,"1795247, 1741711, 1705201, 2112755, 1665107, 2134855, 1728983, 1735075, 1762262, 1671004, 2278561, 1674135, 1740430, 1654001, 1771884, 1737211, 2101025, 1666552","ARID2, DOPEY2, FOXC2, HSDL1, ITGB1BP1, LOC728758, NR2C1, PGBD2, PKIA, POLG2, RABL2A, RALGPS1, SLC2A4RG, SMC6, ZNF45, ZNF585A, ZNF75, ZNF75A"
M15.95,TBD,18,"1654861, 2405129, 1656477, 2408179, 1765704, 2309228, 1752592, 1718900, 1674768, 1664233, 1657348, 2297864, 1678730, 1744268, 2345016, 1705266, 2277419, 1791770","ACO2, ARHGEF1, ARSA, BAT2, CDC2L1, GPS1, HLA-DRB4, KCTD2, LOC220686, LOC644590, LOC650909, MTMR14, NOMO1, PLEC1, PTGES2, RELA, SLC38A10, SMARCC2"
M15.96,TBD,18,"1785284, 2391345, 2349129, 1791217, 2350266, 2412927, 2136635, 1668861, 1780560, 1750864, 1772814, 2397571, 2331525, 2394296, 1811178, 2180624, 1725644, 1692865","ALDH6A1, C9ORF23, DPP3, FAM40A, FBXO46, GMPPB, ISCA2, LOC732165, MYO18A, NIN, NLK, PIGC, PRKD2, SAR1B, SCAPER, TMCO6, UBE2D2, VPS37D"
M15.97,TBD,17,"2344956, 2308689, 2299843, 1777765, 1702247, 1790471, 1696360, 2278729, 2246661, 1701457, 1726308, 1796458, 1756139, 1782685, 1801864, 1722738, 1789136, 2158336","ACP1, AGBL5, ATP5S, C12ORF10, CCNDBP1, CICE, CTSB, EIF3B, FAHD1, FAHD1, FAM10A4, GABARAPL2, LOC643310, LOC652672, LOC730455, ROGDI, SERF2, SH3GLB2"
M15.98,TBD,18,"2407824, 1651316, 2226314, 2172588, 2063114, 1702124, 1695422, 2048822, 1723871, 1720113, 1709142, 1723287, 2143314, 1726659, 2194229, 1657554, 2332795, 1727300","ATP1B1, CD69, DBR1, IKBKB, JOSD3, LNX2, NCL, NUDCD2, OTUB1, PTPRO, PURA, SLC6A16, SPIB, THOP1, TMEM128, TSPYL2, ZNF16, ZNF444"
M15.99,TBD,15,"1807945, 2316173, 1681998, 2331735, 2404065, 2404063, 1768433, 1666269, 1773228, 2056002, 1796962, 1769665, 2399140, 1755023, 1678707, 1759250, 1693726, 2362368","ANP32A, AP1S1, AP2B1, AP2B1, APP, APP, CCDC71, CTSZ, DLST, LOC723972, PPP3R1, RAB5C, RAB5C, RAD50, TAF15, TAP2, TBC1D10A, U2AF1"
M16.10,TBD,105,"2415162, 1683883, 1655645, 1709474, 1741156, 2398107, 2318733, 1662470, 1773148, 1717324, 1707943, 1797566, 1657144, 1777221, 2229940, 1728057, 1671263, 1787514, 2227195, 1748407, 1702534, 1693090, 1720484, 1682323, 1739156, 1658677, 1776000, 2352131, 1744628, 1706558, 1684155, 1700307, 1666633, 1667449, 2178855, 2211728, 1792384, 2333766, 1808919, 1903077, 1903021, 1838863, 1896406, 1901934, 1831563, 1851547, 1726678, 1720024, 1723211, 1700168, 2124361, 1675878, 1745933, 1699451, 1690036, 1734880, 1715436, 1668027, 1794108, 2073202, 1693290, 1740512, 1669070, 1784113, 2062620, 1799589, 1734867, 1768020, 1742025, 1751020, 1652846, 2339028, 1696270, 1677887, 2133187, 1784822, 1795336, 1706268, 1687782, 1742382, 1746265, 1696133, 1741585, 1656186, 1652006, 2096747, 1694367, 1652409, 1685079, 1682894, 1658469, 1732722, 1789775, 1764573, 2174081, 1683487, 2107933, 1778560, 2124816, 1692100, 1804820, 1748432, 1726199, 1719219, 1738124","ACY1, AK2, ALMS1, ARMCX5, ASNS, BNIP1, C10ORF35, C11ORF61, C16ORF52, C19ORF39, C1ORF142, C1ORF69, C21ORF51, C2ORF7, C6ORF57, CACNA1H, CAPN12, CCDC65, CCS, CD244, CROT, CRTAP, DDX51, DOPEY1, DTX3, EID3, ERBB2, FDX1L, FLJ20628, FLJ23584, FLJ38969, FLJ39653, GCET2, GPAM, GUCA1B, HABP4, HISPPD2A, HPS4, HS.121070, HS.400256, HS.497591, HS.555260, HS.576735, HS.576825, HS.86045, HSPC047, IL11RA, L2HGDH, LARS2, LEAP2, LOC285359, LOC400713, LOC401218, LOC554206, LOC644128, LOC650799, LOC727762, MED9, MEI1, METT10D, MGC39900, MIPEP, NAT14, NMT2, NOXA1, NR2C1, NY-SAR-48, OLFM1, PACSIN1, PCYT2, PKD1, PLAG1, PMS2, POL3S, PPP1R3F, PTER, PTGDR, RAD17, RIMS3, SARM1, SELI, SEPT1, SFMBT1, SLC41A1, SMC1A, SNORA33, SNORD35B, SPATA7, TELO2, TMEM191B, TP53AP1, TRSPAP1, WDR74, XIST, ZNF133, ZNF154, ZNF285A, ZNF3, ZNF34, ZNF35, ZNF431, ZNF525, ZNF594, ZNF616, ZNF772"
M16.11,TBD,102,"1677723, 1766560, 2178587, 1680955, 2327994, 1778161, 1741985, 1735292, 1807031, 1700515, 1712985, 1676731, 1729546, 2170515, 1777318, 1705433, 1665457, 2382758, 1752562, 1656718, 1754643, 1812934, 1658607, 1758629, 1798014, 1788625, 1714065, 2214473, 1764619, 2258268, 1798816, 1701947, 2139816, 1721136, 2289775, 1910948, 1851453, 1854383, 1912997, 1851169, 1837220, 1904578, 1870303, 1861896, 1696311, 1652647, 1763637, 1807177, 1654653, 1651296, 1807114, 1690970, 1679867, 1669057, 1782178, 1728603, 1673778, 1691616, 1893764, 1755120, 1712719, 1776121, 1760849, 1664878, 1740976, 1787186, 1703324, 1736982, 1790518, 1697701, 1794333, 1714417, 1722698, 2116827, 1737517, 1771051, 1702501, 1726704, 1791039, 1795139, 1795839, 1747436, 1726496, 1814333, 1751075, 2399392, 2347044, 1671337, 2085525, 1681135, 2381476, 2329914, 2333440, 1698427, 2383774, 2399174, 1704383, 1753413, 1656840, 2358382, 1757230, 2209299, 2103388, 1794823","ANGPT1, ANKHD1-EIF4EBP3, ANKRD6, AURKA, AZIN1, BA16L21.2.1, BBS10, C10ORF63, C14ORF28, C17ORF58, C17ORF58, C17ORF65, C19ORF54, C9ORF32, C9ORF64, CBLL1, CLEC4C, CREB1, CXCL5, DEF8, DGCR14, DIDO1, DLEU2, DONSON, EIF2S2, EXOC5, FAM101B, FLJ43692, FLJ45244, GLRX2, GOSR1, GPR34, GPSM2, H6PD, HAX1, HS.408455, HS.438858, HS.444683, HS.461819, HS.48729, HS.527535, HS.537002, HS.570838, HS.571946, IMPAD1, INPP4A, KIAA0226, KIAA1797, KLC1, LOC143666, LOC255620, LOC642233, LOC642255, LOC642921, LOC642946, LOC643713, LOC649270, LOC727935, LOC732172, MAN1A2, MAP7, MGC42367, NETO2, NLRP2, NONO, NOV, PDSS1, PHACTR1, PHF16, PLEKHJ1, POU2F1, PSEN2, RCHY1, RGPD1, RPL29, RPL29, RPS6KA2, RSC1A1, RTF1, S100Z, SCCPDH, SCML4, SEL1L, SERPINI1, SETD4, SIL1, SLC25A14, SLC2A5, SNORA32, SPATA2, SPG3A, SPRY1, TM9SF1, TMUB2, TRAF3, TRAK1, TRIM37, TRIOBP, VPS13D, ZFYVE1, ZNF250, ZNF333, ZNF509, ZNF626"
M16.12,B-cell,100,"1676737, 1654422, 1735539, 1759670, 1813139, 1805247, 1702706, 2198515, 1676241, 1738027, 1792270, 1660754, 1706645, 1795703, 1808251, 2387328, 1783598, 1690291, 1781077, 2379226, 2049293, 1686458, 2294684, 1778964, 1686516, 1743373, 2352401, 1745583, 1660440, 2382403, 1794233, 1677574, 2217513, 2383754, 2300636, 1844611, 1898160, 1823714, 1870111, 1890134, 1843100, 1871762, 1902146, 1912197, 1909895, 1683774, 1653738, 1653480, 2124523, 1811507, 1680714, 1669624, 2184007, 1674201, 1721869, 1653601, 1687058, 1696469, 1681092, 1744048, 1687526, 1698369, 1682996, 1736730, 1698472, 1806721, 1743619, 1795025, 2412281, 1770643, 2284706, 2161508, 1791144, 1699049, 1740486, 2327203, 1771728, 2278850, 1687724, 2191634, 1700685, 2109343, 1801914, 2266948, 1668463, 1663149, 1730363, 1692107, 2119555, 1790218, 2371685, 1752575, 2056795, 1765165, 2125017, 2284327, 2188374, 2384216, 1714412, 1738046","ACTN2, AKAP11, AMACR, ANKDD1A, AP1GBP1, APOBEC3F, ARRDC3, BCOR, BRCA1, C10ORF46, C13ORF25, C6ORF150, C7ORF20, C9ORF38, C9ORF84, CAB39L, CC2D1B, CCDC100, CCNL2, CD84, CEP152, CEP170, CLIC5, CUGBP1, DLL1, ERBB2IP, EXOC1, FAM108B1, FCGR2B, FLJ43663, GALNT6, GLB1L, GTPBP10, HMG2L1, HS.129244, HS.191230, HS.373705, HS.493947, HS.512090, HS.558488, HS.561954, HS.567477, HS.567480, HS.570330, IL2RA, INTS4, KENAE, KIAA1627, LBH, LIG4, LINS1, LOC440354, LOC441511, LOC645600, LOC646144, LOC648494, LOC648509, LOC651316, LOC652455, LOC652773, LOC728127, LOH11CR2A, LRRC16, MLL3, MS4A2, NEDD9, NFX1, PDLIM5, PEX26, PHF11, PHTF2, PMS2L1, PMS2L3, POLR2J4, POT1, PXMP4, RAB24, RAP1GDS1, RPL37, S100PBP, SEPT2, SGTB, SH3BP2, SLC38A1, SON, SRP54, STAU1, SUV420H1, TMTC3, TXNL4A, UBE2E1, USP42, USP9Y, VPS13B, VSTM3, WDR23, XPOT, XRN1, ZNF292, ZNF623"
M16.13,TBD,94,"1702764, 2404917, 1687757, 1711408, 2294751, 1659800, 2154836, 1793846, 1754538, 1656463, 1806825, 1713561, 1683415, 1767168, 1694877, 1652237, 1685045, 1692398, 2327974, 1887403, 1656560, 2342068, 2291455, 2117885, 1780298, 2150802, 2364088, 2401033, 1736184, 1708004, 1780700, 1784256, 1752502, 1827623, 1898771, 1818577, 1861057, 1876124, 2373755, 1748123, 1804451, 2193752, 1713803, 1769288, 1798940, 1692116, 1781251, 1674334, 1794150, 1681325, 1681760, 1813246, 1745699, 1668713, 1664994, 1793349, 2274923, 1771149, 1661039, 1737413, 1738622, 2067980, 1762674, 2045975, 2136133, 2401701, 2074044, 1725188, 2284794, 2281128, 1683052, 2052383, 2276397, 2062524, 2169383, 2222768, 1808757, 1664910, 1764629, 2182348, 2350970, 1784880, 2313434, 1677963, 2293374, 1655611, 2347298, 1702636, 2212690, 1657729, 2077504, 2181469, 2400661, 1810392","AFAP1L2, AKR1C4, ANXA4, ASCC3, BCL11A, BTG3, BZW1, C10ORF58, C11ORF73, C14ORF145, C20ORF103, CAMK2D, CAMK4, CASP6, CBR3, CHI3L2, CNTNAP1, CORO2A, DBT, DKFZP564O0823, ERC1, FAM102A, FAM122A, FAM86A, FLJ22795, GEMIN8, GOSR1, GSTM3, GTSCR1, GUSBL1, HDGFRP3, HKDC1, HS.46689, HS.494932, HS.551815, HS.558072, HS.571417, IFT88, KLHL14, LEO1, LOC153364, LOC400566, LOC402560, LOC644131, LOC650321, LOC653115, LOC653354, LOC654074, LOC727825, LOC728518, LOC728554, MARCH5, METTL2A, MGC29891, MINPP1, MOBKL1A, MOCS2, MRPL19, MRPL30, MSH2, NDNL2, NKAP, NUP43, ORMDL1, PABPC1, PCGF6, PLS1, PRKCI, PSMB8, PSMD10, PTRH2, R3HDM1, RASGRP2, RBBP4, REG4, REPS1, RPL37A, RPSA, SLC39A14, SMC3, SOCS5, TAF9L, TCP1, TMCC1, TOP1MT, TSHZ2, TSPYL2, TUBB6, ZC3H7A, ZNF254, ZNF294, ZNF611, ZNF626, ZNHIT2"
